Name,Weight,Id,Details,Price,Price per Kg,Promotion Discount,Promotion End Date,Image Url
Sugo ai Funghi U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/14515,"1 conf 350g | 3,40 €/kg","1,19","3,40",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/14515/1E94E67B-4D76-4F04-9301-EC679A49959A_1_MEDIUM.Jpg
Sugo al Basilico,350 g,https://www.spesaonline.unes.it/p/14513,"1 conf 350g | 3,40 €/kg","1,19","3,40",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/14513/D9F972D4-1434-4EDB-AB40-773DAACD730F_1_MEDIUM.Jpg
Olio di Oliva Composto di Oli di Oliva Raffinati e di Oli di Oliva Vergini U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/47283,"1 conf 100cl | 8,99 €/l","8,99","8,99",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/47283/314ABCEA-F366-4322-AD28-63FDEB8DAB2E_1_MEDIUM.Jpg
Olio Extra Vergine di Oliva U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/10285,"1 conf 50cl | 12,98 €/l","6,49","12,98",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/10285/C7A1EA0D-4FF6-448C-A605-9C9BB3E03C19_1_MEDIUM.Jpg
Olio di Oliva Composto di Oli di Oliva Raffinati e Oli di Oliva Vergini U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/10284,"1 conf 100cl | 9,90 €/l","9,90","9,90",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/10284/70F28DA8-FB3E-4A48-9223-4A9F96C2FEC0_1_MEDIUM.Jpg
Olio Extra Vergine di Oliva U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/10282,"1 conf 100cl | 10,99 €/l","10,99","10,99",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/10282/A0920B7D-AE87-4D4E-B9FB-BAC11DD0AA2B_1_MEDIUM.Jpg
Olio di Semi di Girasole per Friggere U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/21391,"1 conf 100cl | 2,79 €/l","2,79","2,79",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/21391/60CE6B94-A75E-46DB-8322-9B731CEA1F00_1_MEDIUM.Jpg
Olio di Semi di Soia U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/21387,"1 conf 100cl | 2,69 €/l","2,69","2,69",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/21387/6ADDC377-11BA-443F-9D4C-CAF8EE453372_1_MEDIUM.Jpg
Olio di Semi di Girasole U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/21386,"1 conf 100cl | 2,49 €/l","2,49","2,49",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/21386/2F459131-A465-4E15-A026-43FA4AAD5C19_1_MEDIUM.Jpg
Olio di Semi di Mais U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/21385,"1 conf 100cl | 2,99 €/l","2,99","2,99",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/21385/1F18F5D2-1831-4D4E-89EE-068BE29713B0_1_MEDIUM.Jpg
Olio di Semi Vari U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/21384,"1 conf 100cl | 2,69 €/l","2,69","2,69",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/21384/98C69B10-3124-4974-9002-D591D855E9DE_1_MEDIUM.Jpg
Olio di Semi di Arachide U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/21383,"1 conf 100cl | 3,59 €/l","3,59","3,59",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/21383/8F83A658-617D-47E3-8463-6C1D7BE15218_1_MEDIUM.Jpg
Aceto di Mele U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/8385,"1 conf 50cl | 2,50 €/l","0,99","2,50",€0.26,10/12,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/8385/57EA8F63-6447-4CF3-AB1E-BDE495C50B2A_1_MEDIUM.Jpg
